Dataset|Valid Pairs||CNC F-Measure|CNC Threshold|CNC Run-time|RSR F-Measure|RSR Threshold|RSR Run-time|RCA F-Measure|RCA Threshold|RCA Run-time|BAH F-Measure|BAH Threshold|BAH Run-time|BMC F-Measure|BMC Threshold|BMC Run-time|EXC F-Measure|EXC Threshold|EXC Run-time|KRC F-Measure|KRC Threshold|KRC Run-time|UMC F-Measure|UMC Threshold|UMC Run-time
Restaurants|764784|1.000|0.581|0.950|11|0.601|0.950|51|0.606|0.950|18|0.627|0.950|1972|0.624|0.950|11|0.629|0.950|11|0.630|0.950|108|0.637|0.950|15
Restaurants|764784|1.000|0.566|0.650|6|0.584|0.800|11|0.626|0.650|9|0.659|0.800|1871|0.631|0.650|7|0.626|0.650|8|0.647|0.650|37|0.656|0.650|8
Abt-Buy|1157776|1.000|0.095|0.900|9|0.194|0.850|73|0.337|0.800|24|0.479|0.250|1082|0.355|0.800|48|0.244|0.800|59|0.338|0.800|152|0.424|0.800|124
Abt-Buy|1157776|1.000|0.083|0.550|10|0.139|0.600|42|0.297|0.250|22|0.470|0.250|1088|0.306|0.450|91|0.205|0.450|101|0.302|0.450|278|0.393|0.400|918
Amazon-Google Products|4114806|1.000|0.146|0.950|29|0.188|0.950|49|0.221|0.800|89|0.264|0.200|2141|0.221|0.950|39|0.251|0.900|140|0.316|0.650|2451|0.267|0.800|3436
Amazon-Google Products|4114806|1.000|0.139|0.650|31|0.159|0.650|36|0.214|0.400|94|0.242|0.050|2146|0.217|0.650|39|0.254|0.500|500|0.307|0.400|2496|0.254|0.400|5521
DBLP-ACM|6001104|1.000|0.831|0.950|41|0.873|0.900|59|0.889|0.900|140|0.931|0.850|2025|0.932|0.900|58|0.931|0.900|50|0.965|0.700|3737|0.967|0.850|335
DBLP-ACM|6001104|1.000|0.847|0.600|40|0.866|0.500|64|0.868|0.550|144|0.908|0.450|2010|0.918|0.550|87|0.929|0.550|55|0.966|0.450|2174|0.960|0.500|481
DBLP-ACM|6001104|1.000|0.117|0.950|41|0.136|0.950|84|0.174|0.800|171|0.247|0.950|2011|0.243|0.950|59|0.239|0.950|46|0.308|0.800|2568|0.284|0.950|67
DBLP-ACM|6001104|1.000|0.167|0.350|39|0.181|0.350|54|0.183|0.250|135|0.257|0.300|2068|0.240|0.350|58|0.241|0.250|63|0.304|0.250|345|0.292|0.250|115
IMDB-TMDB|30280972|0.977|0.658|0.850|195|0.646|0.850|269|0.507|0.850|716|0.383|0.850|2845|0.678|0.850|217|0.689|0.850|233|0.693|0.800|1239|0.689|0.850|314
IMDB-TMDB|30994608|1.000|0.438|0.500|203|0.463|0.550|292|0.413|0.450|685|0.297|0.500|2835|0.560|0.450|243|0.629|0.400|801|0.667|0.400|2425|0.625|0.450|568
IMDB-TVDB|39651396|0.992|0.402|0.850|249|0.366|0.850|330|0.335|0.850|778|0.183|0.850|3276|0.436|0.850|369|0.464|0.850|277|0.488|0.850|1791|0.487|0.850|449
IMDB-TVDB|39971580|1.000|0.116|0.400|723|0.117|0.450|313|0.169|0.350|854|0.091|0.300|3059|0.183|0.350|951|0.297|0.350|1829|0.344|0.350|5335|0.250|0.350|7353
TMDB-TVDB|45903992|0.971|0.499|0.950|311|0.418|0.950|443|0.374|0.950|1288|0.182|0.950|3199|0.497|0.950|306|0.614|0.850|774|0.600|0.850|2710|0.537|0.950|462
TMDB-TVDB|47297360|1.000|0.562|0.750|310|0.563|0.850|366|0.440|0.850|1045|0.248|0.750|3142|0.559|0.850|314|0.574|0.600|468|0.560|0.850|1802|0.560|0.850|457
TMDB-TVDB|47297360|1.000|0.000|0.000|9389|0.012|0.950|3382|0.067|0.950|1346|0.065|0.950|3530|0.105|0.950|13004|0.367|0.950|12952|0.340|0.950|26403|0.175|0.950|73832
TMDB-TVDB|47139111|0.997|0.253|0.950|306|0.217|0.950|778|0.203|0.950|1306|0.102|0.950|3595|0.275|0.950|299|0.320|0.950|397|0.312|0.950|1851|0.292|0.950|566
TMDB-TVDB|47297360|1.000|0.206|0.100|305|0.199|0.100|370|0.149|0.050|1138|0.077|0.050|3118|0.200|0.100|444|0.321|0.050|388|0.300|0.050|2014|0.243|0.050|615
DBLP-Scholar|154364148|1.000|0.473|0.900|1100|0.497|0.900|1384|0.683|0.850|2287|0.182|0.850|146283|0.685|0.850|1458|0.717|0.800|16429|0.738|0.800|33376|0.704|0.850|3586
DBLP-Scholar|154364148|1.000|0.370|0.550|991|0.422|0.550|1321|0.642|0.500|1799|0.163|0.450|150925|0.644|0.500|1257|0.664|0.450|32055|0.704|0.450|59005|0.664|0.500|6068
